zone,canonical_zone,area,is_canonical,selectable
PST8PDT,America/Los_Angeles,Other,false,false
Pacific/Apia,Pacific/Apia,Pacific,true,true
Pacific/Auckland,Pacific/Auckland,Pacific,true,true
Pacific/Bougainville,Pacific/Bougainville,Pacific,true,true
Pacific/Chatham,Pacific/Chatham,Pacific,true,true
Pacific/Chuuk,Pacific/Port_Moresby,Pacific,false,true
Pacific/Easter,Pacific/Easter,Pacific,true,true
Pacific/Efate,Pacific/Efate,Pacific,true,true
Pacific/Enderbury,Pacific/Kanton,Pacific,false,true
Pacific/Fakaofo,Pacific/Fakaofo,Pacific,true,true
Pacific/Fiji,Pacific/Fiji,Pacific,true,true
Pacific/Funafuti,Pacific/Tarawa,Pacific,false,true
Pacific/Galapagos,Pacific/Galapagos,Pacific,true,true
Pacific/Gambier,Pacific/Gambier,Pacific,true,true
Pacific/Guadalcanal,Pacific/Guadalcanal,Pacific,true,true
Pacific/Guam,Pacific/Guam,Pacific,true,true
Pacific/Honolulu,Pacific/Honolulu,Pacific,true,true
Pacific/Johnston,Pacific/Honolulu,Pacific,false,true
Pacific/Kanton,Pacific/Kanton,Pacific,true,true
Pacific/Kiritimati,Pacific/Kiritimati,Pacific,true,true
Pacific/Kosrae,Pacific/Kosrae,Pacific,true,true
Pacific/Kwajalein,Pacific/Kwajalein,Pacific,true,true
Pacific/Majuro,Pacific/Tarawa,Pacific,false,true
Pacific/Marquesas,Pacific/Marquesas,Pacific,true,true
Pacific/Midway,Pacific/Pago_Pago,Pacific,false,true
Pacific/Nauru,Pacific/Nauru,Pacific,true,true
Pacific/Niue,Pacific/Niue,Pacific,true,true
Pacific/Norfolk,Pacific/Norfolk,Pacific,true,true
Pacific/Noumea,Pacific/Noumea,Pacific,true,true
Pacific/Pago_Pago,Pacific/Pago_Pago,Pacific,true,true
Pacific/Palau,Pacific/Palau,Pacific,true,true
Pacific/Pitcairn,Pacific/Pitcairn,Pacific,true,true
Pacific/Pohnpei,Pacific/Guadalcanal,Pacific,false,true
Pacific/Ponape,Pacific/Guadalcanal,Pacific,false,true
Pacific/Port_Moresby,Pacific/Port_Moresby,Pacific,true,true
Pacific/Rarotonga,Pacific/Rarotonga,Pacific,true,true
Pacific/Saipan,Pacific/Guam,Pacific,false,true
Pacific/Samoa,Pacific/Pago_Pago,Pacific,false,true
Pacific/Tahiti,Pacific/Tahiti,Pacific,true,true
Pacific/Tarawa,Pacific/Tarawa,Pacific,true,true
Pacific/Tongatapu,Pacific/Tongatapu,Pacific,true,true
Pacific/Truk,Pacific/Port_Moresby,Pacific,false,true
Pacific/Wake,Pacific/Tarawa,Pacific,false,true
Pacific/Wallis,Pacific/Tarawa,Pacific,false,true
Pacific/Yap,Pacific/Port_Moresby,Pacific,false,true
Poland,Europe/Warsaw,Other,false,false
Portugal,Europe/Lisbon,Other,false,false
ROC,Asia/Taipei,Other,false,false
ROK,Asia/Seoul,Other,false,false
Singapore,Asia/Singapore,Other,false,false
Turkey,Europe/Istanbul,Other,false,false
UCT,UTC,Other,false,false
US/Alaska,America/Anchorage,US,false,false
US/Aleutian,America/Adak,US,false,false
US/Arizona,America/Phoenix,US,false,false
US/Central,America/Chicago,US,false,false
US/East-Indiana,America/Indiana/Indianapolis,US,false,false
US/Eastern,America/New_York,US,false,false
US/Hawaii,Pacific/Honolulu,US,false,false
US/Indiana-Starke,America/Indiana/Knox,US,false,false
US/Michigan,America/Detroit,US,false,false
US/Mountain,America/Denver,US,false,false
US/Pacific,America/Los_Angeles,US,false,false
US/Samoa,Pacific/Pago_Pago,US,false,false
UTC,UTC,Other,true,true
Universal,UTC,Other,false,false
W-SU,Europe/Moscow,Other,false,false
WET,Europe/Lisbon,Other,false,false
Zulu,UTC,Other,false,false
